score,label
0.486,0
0.5512,0
0.4967,0
0.5438,0
0.4265,0
0.3107,0
0.2943,0
0.224,0
0.2725,0
0.3517,0
0.422,0
0.6162,0
0.7361,0
0.4019,0
0.4526,0
0.3561,0
0.545,0
0.2454,0
0.6333,0
0.3391,0
0.3083,0
0.2578,0
0.2983,0
0.2139,0
0.2513,0
0.4016,0
0.5927,0
0.4795,0
0.4491,0
0.5767,0
0.4187,0
0.3663,0
0.254,0
0.5707,0
0.6233,0
0.5669,0
0.4645,0
0.4004,0
0.5337,0
0.4993,0
0.5133,0
0.453,0
0.8422,1
0.8259,1
0.8098,1
0.6654,1
0.6356,1
0.7845,1
0.7668,1
0.5629,1
0.6792,1
0.6834,1
0.7463,1
0.5546,1
0.7331,1
0.8515,1
0.6341,1
0.786,1
0.6825,1
0.6539,1
0.8433,1
0.8214,1
0.7908,1
0.8217,1
0.7594,1
0.8257,1
0.6251,1
0.7641,1
0.749,1
0.7912,1
0.5321,1
0.6626,1
0.6819,1
0.6623,1
0.7462,1
0.5126,1
0.874,1
0.6647,1
0.6975,1
0.8413,1
0.6123,1
0.7658,1
0.7072,1
0.7015,1
0.6745,1
0.6223,1
0.7145,1
0.7068,1
0.7695,1
0.7278,1
0.762,1
0.7367,1
0.7139,1
0.7496,1
0.56,1
0.4233,1
0.8518,1
0.7891,1
0.7667,1
0.8269,1
0.7198,1
0.7694,1
0.6932,1
0.6524,1
0.6832,1
0.6861,1
0.8535,1
0.7255,1
0.607,1
0.7578,1
0.6704,1
0.782,1
0.7672,1
0.7047,1
0.722,1
0.7102,1
0.6969,1
0.6572,1
0.7379,1
0.8188,1
0.7203,1
0.5953,1
0.6369,1
0.7306,1
0.6476,1
0.7684,1
0.6311,1
0.7152,1
0.7105,1
0.7022,1
0.8353,1
0.634,1
0.7672,1
0.6454,1
0.6737,1
0.7295,1
0.7625,1
0.703,1
0.7663,1
0.6982,1
0.5796,1
0.7193,1
0.8757,1
0.5329,1
0.5769,1
0.7215,1
0.8338,1
0.4241,1
0.4336,1
0.423,1
0.5369,1
0.5968,1
0.6034,1
0.4335,1
0.3741,1
0.5373,1
0.5713,1
0.5189,1
0.7056,1
0.6077,1
0.4503,1
0.3844,1
0.6952,1
0.5317,1
0.2365,1
0.6806,1
0.5227,1
0.6656,1
0.5215,1
0.5402,1
0.7704,1
0.6646,1
0.5854,1
0.7207,1
0.8329,1
0.4616,1
0.5411,1
0.4395,1
0.6593,1
0.5757,1
0.3927,1
0.4868,1
0.6181,1
0.5645,1
0.4887,1
0.485,1
0.4068,1
0.6067,1
0.5747,1
0.7296,1
0.6556,1
0.6274,1
0.5784,1
0.5629,1
0.3734,1
0.671,1
0.8039,1
0.6656,1
0.6027,1
0.5326,1
0.5112,1
0.8657,1
0.5688,1
0.5595,1
0.5717,1
0.7268,1
0.4687,1
0.615,1
0.451,1
0.7071,1
0.3568,1
0.594,1
0.4609,1
0.3474,1
0.581,1
0.6444,1
0.5433,1
0.5988,1
0.627,1
0.4218,1
0.5776,1
0.307,1
0.6777,1
0.6425,1
0.6243,1
0.7285,1
0.5169,1
0.7522,1
0.7435,1
0.6063,1
0.5425,1
0.3149,1
0.3268,1
0.4514,1
0.4778,1
0.5812,1
0.4776,1
0.5813,1
0.6459,1
0.5339,1
0.7579,1
0.5634,1
0.5211,1
0.6349,1
0.5884,1
0.5601,1
0.6202,1
0.5454,1
0.626,1
0.599,1
0.6015,1
0.5726,1
0.4581,1
0.5924,1
0.4317,1
0.4507,1
0.6029,1
0.5505,1
0.5284,1
0.508,1
0.5308,1
0.6503,1
0.592,1
0.4933,1
0.4019,1
0.3703,1
0.3224,1
0.5714,1
0.4303,1
0.573,1
0.6268,1
0.6316,1
0.4921,1
0.7055,1
0.4222,1
0.5549,1
0.5576,1
0.4248,1
0.5748,1
0.5638,1
0.6273,1
0.6056,1
0.4696,1
0.5698,1
0.5078,1
0.4171,1
0.6517,1
0.6131,1
0.6272,1
0.5942,1
0.5381,1
0.4973,1
0.5934,1
0.4363,1
0.4195,1
0.5514,1
0.3176,1
0.5393,1
0.4392,1
0.4575,1
0.7042,1
0.695,1
0.6084,1
0.6639,1
0.3574,1
0.5231,1
0.7248,1
0.6718,1
0.3953,1
0.4944,1
0.7379,1
0.6037,1
0.5258,1
0.5549,1
0.536,1
0.6365,1
0.5708,1
0.5202,1
0.3901,1
0.3404,1
0.471,1
0.6272,1
0.6079,1
0.7538,1
0.5277,1
0.5142,1
0.5669,1
0.5559,1
0.6164,1
0.4729,1
0.4087,1
0.5897,1
0.7826,1
0.7065,1
0.5972,1
0.5797,1
0.714,1
0.5762,1
0.742,1
0.6281,1
0.5883,1
0.6091,1
0.6684,1
0.8199,1
0.5644,1
0.3881,1
0.57,1
0.631,1
0.5187,1
0.8417,1
0.7839,1
0.7322,1
0.8211,1
0.5188,1
0.7014,1
0.6016,1
0.7226,1
0.5668,1
0.4604,1
0.3717,1
0.5905,1
0.5233,1
0.7022,1
0.7076,1
0.54,1
0.4827,1
0.7344,1
0.6944,1
0.6259,1
0.5582,1
0.6873,1
0.6052,1
0.4792,1
0.6518,1
0.6294,1
0.5861,1
0.6084,1
0.4618,1
0.81,1
0.5741,1
0.5247,1
0.5105,1
0.5857,1
0.5849,1
0.5279,1
0.2481,1
0.2974,1
0.2562,1
0.5809,1
0.5338,1
0.4961,1
0.6051,1
0.5504,1
0.5688,1
0.549,1
0.6987,1
0.5792,1
0.6702,1
0.5977,1
0.6335,1
0.8317,1
0.5264,1
0.3272,1
0.6769,1
0.4938,1
0.5453,1
0.6439,1
0.5956,1
0.6869,1
0.623,1
0.7959,1
0.4902,1
0.5655,1
0.4981,1
0.4833,1
0.6222,1
0.7575,1
0.3607,1
0.3849,1
0.516,1
0.5955,1
0.5459,1
0.6252,1
0.4609,1
0.4196,1
0.6487,1
0.6043,1
0.676,1
0.6195,1
0.5977,1
0.6095,1
0.5245,1
0.6622,1
0.6436,1
0.652,1
0.6552,1
0.4945,1
0.5402,1
0.8052,1
0.6325,1
0.7852,1
0.6831,1
